desc_tax_revolt;Peasant insurgents have seized the province, stubbornly refusing to pay taxes.;Les paysans insurgés ont pris le contrôle de la province, refusant obstinément de payer leurs impôts.;Rebellische Bauern haben die Provinz besetzt und weigern sich, Steuern zu zahlen.;;Insurgentes campesinos se han adueñado de la provincia, negándose rotundamente a pagar impuestos.;;;;;;;;;x;
heretic_country;Heretic Country;Pays hérétique;Ketzerische Nation;;País hereje;;;;;;;;;x;
desc_heretic_country;We have adopted a slightly different interpretation of the Faith.;Nous avons adopté une interprétation légèrement différente de la foi.;Wir haben eine leicht abweichende Interpretation des Glaubens angenommen.;;Hemos adoptado una interpretación de la fe ligeramente diferente.;;;;;;;;;x;
crusader;Crusade;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x;
desc_crusader;We are engaged in the Holy War against the Infidel. God shall grant us victory!;Nous participons à la guerre sainte contre les infidèles. Grâce à Dieu, nous vaincrons !;Wir befinden uns in einem heiligen Krieg gegen die Ungläubigen. Gott wird uns den Sieg schenken!;;Hemos iniciado una Guerra Santa contra el infiel. ¡Dios nos concederá la victoria!;;;;;;;;;x;
excommunication;Excommunication;Excommunication;Exkommunizierung;;Excomunión;;;;;;;;;x;
desc_excommunication;Our ruler has been excommunicated. May God have mercy on the sinner's soul!;Notre monarque a été excommunié. Puisse Dieu avoir pitié de son âme de pécheur !;Unser Herrscher wurde exkommuniziert. Möge Gott Gnade an seiner Seele haben!;;Nuestro gobernante ha sido excomulgado. ¡Que Dios se apiade del alma de ese pecador!;;;;;;;;;x;
MONARCHY;Monarchy;Monarchie;Monarchie;;Monarquía;;;;;;;;;x;
REPUBLIC;Republic;République;Republik;;República;;;;;;;;;x;
THEOCRACY;Theocracy;Théocratie;Theokratie;;Teocracia;;;;;;;;;x;
MONARCHISTS;Monarchists;Monarchistes;Monarchisten;;Monárquicos;;;;;;;;;x;
REPUBLICANS;Republicans;Républicains;Republikaner;;Republicanos;;;;;;;;;x;
THEOCRATS;Theocrats;Théocrates;Theokraten;;Teócratas;;;;;;;;;x;
OUR_RULER;Our Ruler;Notre souverain;Unser Herrscher;;Nuestro gobernante;;;;;;;;;x;
THEIR_RULER;Their Ruler;Leur souverain;Ihr Herrscher;;Su gobernante;;;;;;;;;x;
TRUST0;They would not trust us to die properly.;Ils ne pensaient pas que nous allions mourir comme ça.;Sie würden uns nicht trauen, korrekt zu sterben.;;No confían ciegamente en nosotros.;;;;;;;;;x;
TRUST1;They expect us to break every deal and alliance.;Ils s'attendent à ce que nous rompions marchés et alliances.;Sie nehmen von uns an, jeden Vertrag zu brechen;;Esperan que rompamos cualquier trato y alianza.;;;;;;;;;x;
TRUST2;They deeply distrust us.;Ils se méfient terriblement de nous.;Sie misstrauen uns völlig.;;Desconfían profundamente de nosotros.;;;;;;;;;x;
TRUST3;They view us with distrust.;Ils nous regardent avec méfiance.;Sie betrachten uns mit Misstrauen.;;Nos contemplan con desconfianza.;;;;;;;;;x;
TRUST4;They are willing to trust us somewhat.;Ils souhaitent nous faire confiance.;Sie vertrauen uns ein klein wenig.;;Están dispuestos a confiar en nosotros un poco.;;;;;;;;;x;
TRUST5;They trust us to uphold our bargains.;Ils nous font confiance pour tenir nos engagements.;Sie vertrauen uns, uns an die Abmachung zu halten.;;Confían en que mantendremos nuestros tratos.;;;;;;;;;x;
TRUST6;They feel we are highly trustworthy.;Ils nous jugent parfaitement dignes de confiance.;Sie finden uns sehr vertrauenswürdig.;;Nos consideran muy dignos de confianza.;;;;;;;;;x;
TRUST7;They trust us implicitly.;Ils nous font implicitement confiance.;Sie vertrauen uns blind.;;Confían en nosotros de forma incondicional.;;;;;;;;;x;
TRUST8;They trust us utterly.;Ils nous font complètement confiance.;Sie nehmen an, wir würden dem Ruf gegen die Dunkelheit selbst folgen.;;Confían completamente en nosotros.;;;;;;;;;x;
OCCUPIED_PROVINCES;Occupied Provinces;Provinces occupées;Besetzte Provinzen;;Provincias ocupadas;;;;;;;;;x;
CREATE_REBELS;§R$SIZE$§Y $TYPE$§W regiment(s) rise up in revolt in §Y$WHERE$§W.\n;§R$SIZE$§Y régiment(s) $TYPE$§W  se révoltent à §Y$WHERE$§W.\n;§R$SIZE$§Y $TYPE$§W Regiment(er) erheben sich in §Y$WHERE$§W.\n;;§R$SIZE$§Y regimiento(s) de $TYPE$§W se ha(n) sublevado en §Y$WHERE$§W.\n;;;;;;;;;x;
NATIONALISM_LOWER_THAN;Nationalism lower than ;Nationalisme inférieur à ;Nationalismus geringer als;;Nacionalismo menor que ;;;;;;;;;x;
NATIONALISM_HIGHER_THAN;Nationalism higher than ;Nationalisme supérieur à ;Nationalismus höher als;;Nacionalismo mayor que ;;;;;;;;;x;
CONFIRMACCEPTANCETITLE;Accept the demands of the §Y$NAME$§W;Accepter les exigences de §Y$NAME$§W;Die Forderungen von §Y$NAME$§W akzeptieren;;Aceptar las demandas de los §Y$NAME$§W;;;;;;;;;x;
CONFIRMACCEPTANCETEXT;Are you sure you wish to accept the demands of the §Y$NAME$§W?;Voulez-vous vraiment accepter les exigences de §Y$NAME$§W ?;Seit Ihr sicher das Ihr die Forderungen von §Y$NAME$§W akzeptieren wollt?;;¿Seguro que queréis aceptar las demandas de los §Y$NAME$§W?;;;;;;;;;x;
TOLERANCE_TO_RELIGION_LESS_THAN;Tolerance to religion less than ;Tolérance religieuse inférieure à ;Toleranz zur Religion weniger als;;Tolerancia a la religión menor que ;;;;;;;;;x;
TOLERANCE_TO_RELIGION_GREATER_THAN;Tolerance to religion greater than ;Tolérance religieuse supérieure à ;Toleranz zur Religion größer als;;Tolerancia a la religión mayor que ;;;;;;;;;x;
KNOWN_COUNTRY_STARTS;Known country;Pays connu;Bekanntes Land;;País conocido;;;;;;;;;x;
EXTRA_NATIONALISM_DESC;$DIRECTION$ $VALUE$ years of nationalism in $WHERE$.\n;$DIRECTION$ $VALUE$ années de nationalisme en $WHERE$.\n;$DIRECTION$ $VALUE$ Jahre des Nationalismus in $WHERE$.\n;;$VALUE$ años de $DIRECTION$ de nacionalismo en $WHERE$.\n;;;;;;;;;x;
MODIFIER_TOLERANCE_OWN;Tolerance of the True Faith;Tolérance de la vraie foi;Toleranz des wahren Glaubens;;Tolerancia de la fe verdadera;;;;;;;;;x;
MODIFIER_TOLERANCE_HERETIC;Tolerance of heretics;Tolérance des hérétiques;Toleranz der Häretiker;;Tolerancia de herejes;;;;;;;;;x;
MODIFIER_TOLERANCE_HEATHEN;Tolerance of heathens;Tolérance des païens;Toleranz der Ungläubigen;;Tolerancia de paganos;;;;;;;;;x;
TOLERANCE_DESC;Tolerance represents your acceptance of different religions within your nation. Low tolerance will affect provinces negatively, for example by increasing the revolt risk.;La tolérance correspond à votre degré d'acceptation des différentes religions de votre nation. Une faible tolérance affecte négativement les provinces, par exemple, en augmentant le risque de révolte.;Toleranz gibt Eure Akzeptanz von anderen Religionen innerhalb Eurer Nation an. Niedrige Toleranz wird Provinzen negativ beeinflusse, etwa durch erhöhtes Revoltenrisiko.;;La tolerancia representa vuestra aceptación de las diferentes religiones dentro de la nación. Una tolerancia baja afectará negativamente a las provincias, lo que incrementará el riesgo de revuelta, por ejemplo.;;;;;;;;;x;
TOLERANCE_OWN;Tolerance of the True $FAITH$ Faith;Tolérance de la vraie foi $FAITH$;Toleranz des wahren $FAITH$ Glaubens;;Tolerancia de la fe verdadera ($FAITH$);;;;;;;;;x;
TOLERANCE_HERETIC;Tolerance of the Heretical Beliefs;Tolérance des croyances hérétiques;Toleranz des häretischen Glaubens;;Tolerancia de las creencias heréticas;;;;;;;;;x;
TOLERANCE_HEATHEN;Tolerance of the Heathen Beliefs;Tolérance des croyances païennes;Toleranz der anderen Religionen;;Tolerancia de las creencias paganas;;;;;;;;;x;
CARDINAL_NOT_READY;The Cardinal has been influenced too recently. We must wait until ;Le cardinal s'est récemment laissé influencer. Nous devons attendre jusqu'à ;Der Kardinal wurde vor zu kurzer Zeit beeinflusst. Wir müssen warten bis ;;El cardenal ha sido demasiado influido últimamente. Debemos esperar hasta ;;;;;;;;x;;
CALL_CRUSADETITLE;Call for Crusade;Appeler à une croisade;Ruf nach einem Kreuzzug;;Decretar Cruzada;;;;;;;;;x;
CALL_CRUSADENEWDESC;Do you wish to call for a Crusade against $COUNTRY$? This will give Catholic countries a significant manpower and income bonus while at war with the Infidel.;Voulez-vous appeler à une croisade contre $COUNTRY$ ? Cela permettra aux pays catholiques en guerre contre les infidèles de disposer d'une main-d'œuvre considérable ainsi que d'un bonus de revenu.;Wollt Ihr einen Kreuzzug gegen $COUNTRY$ ausrufen? Das wird katholischen Ländern einen signifikanten Zuwachs an Rekruten und Einkommen bringen während sie sich im Krieg gegen die Ungläubigen befinden.;;¿Queréis decretar una cruzada contra $COUNTRY$? Esto proporcionará a los países católicos una importante bonificación en recursos humanos e ingresos mientras estén en guerra con el infiel.;;;;;;;;;x;
CALL_CRUSADEDESC;Crusades give Catholic countries a significant manpower and income bonus while at war with them.;Les croisades permettent aux pays catholiques en guerre contre les infidèles de disposer d'une main-d'œuvre considérable ainsi que d'un bonus de revenu.;Kreuzzüge bescheren katholischen Nationen einen signifikanten Zuwachs bei Rekruten und Einkommen während wir im Krieg mit ihnen liegen.;;Las Cruzadas proporcionan a los países católicos una importante bonificación en recursos humanos e ingresos mientras estén en guerra con ellos.;;;;;;;;;x;
HASCALL_CRUSADE;We have already called for a Crusade against them.;Nous avons déjà appelé à une croisade contre eux.;Wir haben bereits einen Kreuzzug gegen sie ausgerufen.;;Ya hemos decretado una Cruzada contra ellos.;;;;;;;;;x;
EXCOMMUNICATETITLE;Excommunicate;Excommunier;Exkommunizieren;;Excomulgar;;;;;;;;;x;
EXCOMMUNICATENEWDESC;Do you wish to excommunicate $MONARCH$? Catholic countries will not need a Casus Belli against $COUNTRY$ and will suffer no stability hit from having the same religion.;Voulez-vous excommunier $MONARCH$ ? Les pays catholiques auront besoin d'un casus belli contre $COUNTRY$ et leur religion commune n'affectera pas leur stabilité.;Wollt Ihr $MONARCH$ exkommunizieren? Katholische Länder werden keinen Casus Belli gegen $COUNTRY$ mehr benötigen und werden keinen Stabilitätsverlust bei der Kriegserklärung erleiden.;;¿Queréis excomulgar a $MONARCH$? Los países católicos no necesitarán un casus belli contra $COUNTRY$ y no sufrirán impacto en la estabilidad por tener la misma religión.;;;;;;;;;x;
EXCOMMUNICATEDESC;Excommunication will allow other Catholic nations to declare war on them without suffering the normal stability hits of having the same religion, or lacking a Casus Belli.;L'excommunication permettra aux autres nations catholiques de leur déclarer la guerre sans impact sur leur stabilité ou en l'absence de casus belli.;Eine Exkommunizierung wird es anderen katholischen Nationen erlauben, einen Krieg ohne die normalen Stabilitätsverluste oder einen Casus Belli zu erklären.;;La excomunión permitirá a las demás naciones católicas declararles la guerra sin sufrir los habituales efectos en la estabilidad por tener la misma religión o por falta de casus belli.;;;;;;;;;x;
HASEXCOMMUNICATE;We have already excommunicated them.;Nous les avons déjà excommuniés.;Wir haben sie bereits exkommuniziert.;;Ya los hemos excomulgado.;;;;;;;;;x;
EXCOM_NO_RULER;They currently have no ruler to excommunicate.;Ils n'ont actuellement aucun souverain à excommunier.;Sie haben derzeit keinen Herrscher, den wir exkommunizieren können.;;Actualmente no tienen gobernante al que excomulgar.;;;;;;;;x;;
EXCOM_WRONG_RELIGION;We can only excommunicate Catholics.;Nous pouvons uniquement excommunier les catholiques.;Wir können nur Katholiken exkommunizieren.;;Solo podemos excomulgar a católicos.;;;;;;;;x;;
EXCOM_NOT_READY;We cannot excommunicate rulers left and right! We must wait, at least until ;Nous ne pouvons pas excommunier les souverains de gauche et de droite ! Nous devons attendre au moins jusqu'à ;Wir können nicht andauernd Herrscher exkommunizieren! Wir müssen warten bis ;;¡No podemos ir por ahí excomulgando a gobernantes a diestro y siniestro! Debemos esperar, por lo menos hasta ;;;;;;;;x;;
EXCOMMUNICATED;Excommunicated;Excommunié(s);Exkommuniziert;;Excomulgado;;;;;;;;x;;
EXCOMMUNICATED_DESC;The Pope has seen fit to excommunicate this ruler. Catholic countries can declare war without incurring the normal stability hits.;Le pape a jugé bon d'excommunier ce souverain. Les pays catholiques peuvent déclarer la guerre sans que leur stabilité s'en trouve affectée.;Der Papst hat diesen Herrscher exkommuniziert. Katholische Länder können ihm den Krieg erklären, ohne den normalen Stabilitätsverlust.;;El Papa ha dado su visto bueno para excomulgar a este gobernante. Los países católicos pueden declarar la guerra sin sufrir los efectos habituales en la estabilidad.;;;;;;;;x;;
IS_EXCOMMUNICATED;Is excommunicated ;Est excommunié ;Ist exkommuniziert;;Está excomulgado ;;;;;;;;x;;
IS_NOT_EXCOMMUNICATED;Is not excommunicated ;N'est pas excommunié ;Ist nicht exkommuniziert;;No está excomulgado ;;;;;;;;x;;
CRUSADE;Crusade;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x;
CRUSADE_DESC;Catholics all over the world are encouraged to attack §Y$NAME$§W in the name of Our Lord! The Crusade will last until $DATE$ or the Infidel has been destroyed.;Les catholiques du monde entier sont encouragés à attaquer §Y$NAME$§W au nom de notre Seigneur ! La croisade durera jusqu'au $DATE$ ou jusqu'à ce que les infidèles aient été éliminés.;Katholiken überall auf der Welt machen sich auf, $NAME$ im Namen des Herrn anzugreifen! Der Kreuzzug wird bis $DATE$ dauern, oder bis die Ungläubigen vernichtet wurden.;;Se exhorta a todos los católicos del mundo para que ataquen a $NAME$ en el nombre de Nuestro Señor. La Cruzada durará hasta el $DATE$ o hasta que el infiel haya sido destruido.;;;;;;;;;x;
ALREADY_CRUSADING;The Pope has already launched a Crusade. We must wait for it to end before calling another.;Le pape a déjà lancé une croisade. Nous devons attendre qu'elle prenne fin avant d'en appeler une autre.;Der Papst hat bereits einen Kreuzzug ausgerufen. Wir müssen warten, bis er beendet ist, bevor wir einen anderen ausrufen.#;;El Papa ya ha puesto en marcha una Cruzada. Debemos esperar a que acabe antes de decretar otra.;;;;;;;;;x;
CRUSADE_SAME_RELIGION;While tempting, we cannot launch a Crusade against fellow Christians, heretics or not.;Bien que tentant, nous ne pouvons pas lancer de croisade contre d'autres chrétiens, hérétiques ou non.;Es ist zwar verführerisch, aber wir können keinen Kreuzzug gegen Christen ausrufen, Ketzer oder nicht.;;Aunque es tentador, no podemos lanzar una Cruzada contra nuestros socios cristianos, sean herejes o no.;;;;;;;;;x;
CRUSADEONUS_SETUP;When the Papal Controller calls for a Crusade against us.;Lorsque le contrôleur pontifical appelle à une croisade contre nous;Wenn der Papstkontrolleur einen Kreuzzug gegen uns ausruft.;;Cuando el Valedor del Papa decrete una Cruzada contra nosotros.;;;;;;;;;x;
CRUSADEONUS_HEADER;Herald from;Message de l’ambassadeur :;Herold aus;Wys³annik pañstwa:;Un heraldo de;Messaggero da;Hírnök érkezett tõle:;Herold od;;;;;;x;
CRUSADEONUS_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
CRUSADEONUS_2;$MONARCHTITLE$, the Christian Infidels have called for a;$MONARCHTITLE$, les infidèles chrétiens ont appelé à une;$MONARCHTITLE$, die christlichen Ungläubigen rufen nach einem;;¡$MONARCHTITLE$, los infieles cristianos han decretado una;;;;;;;;;x;
CRUSADEONUS_3;CRUSADE;CROISADE;KREUZZUG;;Cruzada;;;;;;;;;x;
CRUSADEONUS_4;against;contre;gegen;;contra;;;;;;;;;x;
CRUSADEONUS_5;US!;NOUS !;UNS!;;NOSOTROS!;;;;;;;;;x;
CRUSADEONUS_6;Infidel soldiers will flock to the banners of Catholic countries at war with us.;Les soldats infidèles se regrouperont sous les bannières des pays catholiques en guerre contre nous.;Ungläubige Soldaten werden sich um die Fahnen der christlichen Nationen scharen, die mit uns im Krieg sind.;;Los soldados infieles se unirán en tropel bajo los estandartes de los países católicos en guerra con nosotros.;;;;;;;;;x;
CRUSADEONUS_LOG;The Pope ($ACTOR$) has called for a Crusade against us.;Le pape ($ACTOR$) a appelé à une croisade contre nous.;$ACTOR$ hat den Papst überzeugt, einen Kreuzzug gegen uns auszurufen.;;El Papa ha llamado a $ACTOR$ a una Cruzada contra nosotros.;;;;;;;;;x;
CRUSADEONUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONUS_BTN3;Goto;Voir;GOTO;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
CRUSADEONUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
CRUSADEONOTHER_SETUP;When the Papal Controller calls for a Crusade against another nation.;Lorsque le contrôleur pontifical appelle à une croisade contre une autre nation;Wenn der Papstkontrolleur einen Kreuzzug gegen eine andere Nation ausruft.;;Cuando el Valedor del Papa decrete una Cruzada contra otra nación.;;;;;;;;;x;
CRUSADEONOTHER_HEADER;Herald from;Message de l’ambassadeur :;Herold aus;Wys³annik pañstwa:;Un heraldo de;Messaggero da;Hírnök érkezett tõle:;Herold od;;;;;;x;
CRUSADEONOTHER_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
CRUSADEONOTHER_2;$MONARCHTITLE$, ;$MONARCHTITLE$, ;$MONARCHTITLE$,;*;$MONARCHTITLE$, ;$MONARCHTITLE$, ;Vezérem,;$MONARCHTITLE$,;;;;;;x;
CRUSADEONOTHER_3;The Pope ($ACTOR$);Le pape ($ACTOR$);$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
CRUSADEONOTHER_4;has called for a Crusade against;a appelé à une croisade contre;hat den Papst überredet zu einem Kreuzzug gegen;;ha sido llamado por el Papa a una Cruzada contra;;;;;;;;;x;
CRUSADEONOTHER_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$.;$RECIPIENT$.;$RECIPIENT$.;$RECIPIENT$.;$RECIPIENT$.;;;;;;x;
CRUSADEONOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
CRUSADEONOTHER_LOG;The Pope ($ACTOR$) has called for a Crusade against $RECIPIENT$.;Le pape ($ACTOR$) a appelé à une croisade contre $RECIPIENT$.;$ACTOR$ hat den Papst dazu gebracht, einen Kreuzzug gegen $RECIPIENT$ auszurufen.;;El Papa ha llamado a $ACTOR$ a una Cruzada contra $RECIPIENT$.;;;;;;;;;x;
