EVTOPTA9204;This has do be dealt with quickly.;Il faut régler cela rapidement.;Das muss schnell aus der Welt geschafft werden.;;Esto hay que solucionarlo rápidamente.;;;;;;;;;x
EVTNAME9205;Sacking of $PROVINCENAME$;Mise à sac de $PROVINCENAME$;Einnahme von $PROVINCENAME$;;Saqueo de $PROVINCENAME$;;;;;;;;;x
EVTDESC9205;$PROVINCENAME$ has fallen to our forces, and $MONARCHTITLE$ $MONARCH$ is allowing the troops to do as they like with the city. This is greatly increasing the popularity of him amongst the men.;Nos forces se sont emparées de $PROVINCENAME$ et $MONARCHTITLE$ $MONARCH$ laisse les troupes régner sur la ville. Sa popularité auprès des hommes en est considérablement renforcée.;$PROVINCENAME$ ist an unsere Truppen gefallen, und $MONARCHTITLE$ $MONARCH$ erlaubt ihnen die Plünderung. Dies erhöht sein Anssehen unter den Soldaten.;;$PROVINCENAME$ ha caído ante nuestras fuerzas, y $MONARCHTITLE$ $MONARCH$ deja que las tropas hagan lo que quieran con la ciudad. Ello aumenta enormemente su popularidad entre los hombres.;;;;;;;;;x
EVTOPTA9205;$MONARCH$ rewards his followers.;$MONARCH$ récompense ses partisans.;$MONARCH$ belohnt seine Gefolgsleute.;;$MONARCH$ premia a sus seguidores.;;;;;;;;;x
IS_NOT_TRIBE;Is not a tribe.;N’est pas une tribu.;Ist kein Stamm.;;No es una tribu.;;;;;;;;;x
IS_TRIBE;Is a tribe.;Est une tribu.;Ist ein Stamm.;;Es una tribu.;;;;;;;;;x
EVTNAME4122;$GRAND_MARSHAL$;$GRAND_MARSHAL$;$GRAND_MARSHAL$;;$GRAND_MARSHAL$;;;;;;;;;x
EVTDESC4122;Our Grand Marshal has truly strengthened our dynasties legitimacy. Thanks to $GRAND_MARSHAL$, everyone now respects $DYNASTY$.;Notre grand maréchal a renforcé la légitimité de nos dynasties. Grâce au $GRAND_MARSHAL$, tout le monde respecte désormais les $DYNASTY$.;Unser Großmarschall hat den Ruf unserer Dynastie gestärkt. Dank $GRAND_MARSHAL$ respektiert nun jeder das Haus $DYNASTY$.;;Nuestro mariscal mayor ha reforzado fielmente la legitimidad de nuestras dinastías. Gracias a $GRAND_MARSHAL$, todos respetan a $DYNASTY$.;;;;;;;;;x
grand_marshal_boost;Strengthened Legitimacy;Légitimité renforcée;Verbesserter Ruf;;Legitimidad reforzada;;;;;;;;;x
desc_grand_marshal_boost;The reputation of our dynasty increases due to the hard work of our Grand Marshal.;La réputation de notre dynastie s’améliore grâce aux efforts de notre grand maréchal.;Der Ruf unserer Dynastie verbessert sich durch die harte Arbeit unseres Großmarschalls.;;La reputación de nuestra dinastía aumenta debido al duro trabajo de nuestro mariscal mayor.;;;;;;;;;x
KOJ;Jerusalem;Jérusalem;Jerusalem;;Jerusalén;;;;;;;;;x
KOJ_ADJ;Jerusalemite;jérusalémite;Kreuzritter;;Jerosolimitano;;;;;;;;;x
kingdom_of_jerusalem_title;Reestablish The Kingdom of Jerusalem;Rétablissement du royaume de Jérusalem;Richtet das Königreich Jerusalem wieder ein;;Recupera el Reino de Jerusalén;;;;;;;;;x
kingdom_of_jerusalem_desc;Rejoice! Holy Jerusalem is again in Christian hands - our Christian hands. The Pope has informed us that if we were to reestablish The Kingdom of Jerusalem, our salvation would be assured.;Réjouissez-vous ! La ville sainte de Jérusalem est de nouveau aux mains des Chrétiens - nos mains. Le pape nous a assurés de notre salut si nous parvenions à rétablir le royaume de Jérusalem.;Jubelt! Das heilige Jerusalem ist wieder in christlicher Hand. In unser christlichen Hand. Der Papst hat uns darüber informiert dass unsere Seelen gerettet sein werden, wenn wir das Königreich Jerusalem wieder einrichten.;;¡Regocijaos! La Ciudad Santa de Jerusalén vuelve a estar en manos cristianas: nuestras manos cristianas. El Papa nos ha hecho saber que si recuperábamos el Reino de Jerusalén, nuestra salvación estaría asegurada.;;;;;;;;;x
EVTNAME400;Lack of Prestige impacts our Sphere of Influence;Notre manque de prestige se répercute sur notre sphère d’influence.;Fehlendes Prestige begrenzt unsere Einflusssphäre;;La falta de prestigio afecta a nuestra zona de influencia;;;;;;;;;x
EVTDESC400;Due to our lack of prestige, it makes it harder to keep the $COUNTRY_ADJ$ sphere of influence respected. We may need to renounce our claims, or be forced to do some drastic changes.;Compte tenu de notre manque de prestige, nous avons du mal à faire respecter la sphère d’influence $COUNTRY_ADJ$. Nous risquons de devoir renoncer à nos prétentions ou de procéder à des changements drastiques.;Durch das fehlende Prestige ist es schwieriger, der Einflusssphäre von $COUNTRY_ADJ$ Respekt zu verschaffen. Wir könnten gezwungen sein, unsere Ansprüche aufzugeben, oder zu anderen drastischen Änderungen getrieben werden.;;Dada nuestra falta de prestigio, es más difícil que la zona de influencia de $COUNTRY_ADJ$ se respete. Quizá debamos renunciar a nuestras exigencias, o nos veamos forzados a hacer algunos cambios drásticos.;;;;;;;;;x
EVTOPTA400;A few changes may help.;Quelques changements seraient peut-être utiles.;Einige Änderungen könnten helfen.;;Algunos cambios quizá ayuden.;;;;;;;;;x
EVTOPTB400;We never cared about our influence anyway.;Qu’importe, nous ne nous sommes jamais souciés de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importó nuestra influencia.;;;;;;;;;x
EVTNAME401;The Prestige of $DYNASTY$ is waning.;Le prestige des $DYNASTY$ décroît.;Das Prestige der $DYNASTY$ verfällt.;;El prestigio de $DYNASTY$ se desvanece.;;;;;;;;;x
EVTDESC401;The low prestige of $MONARCHTITLE$ $MONARCH$ has made it harder for $COUNTRY$ to keep the $COUNTRY_ADJ$ sphere of influence respected. If we focus to preserve this, we may end up lowering the legitimacy of $DYNASTY$.;Compte tenu du faible prestige de $MONARCHTITLE$ $MONARCH$, $COUNTRY$ a du mal à faire respecter la sphère d’influence $COUNTRY_ADJ$. En nous efforçant de préserver celle-ci, nous parviendrons peut-être à réduire la légitimité des $DYNASTY$.;Das niedrige Prestige von $MONARCHTITLE$ $MONARCH$ hat es schwieriger für $COUNTRY$ gemacht, $COUNTRY_ADJ$ Einflusssphäre zu unterhalten. Wenn wir weiter versuchen sie aufrechtzuerhalten könnten wir die Legitimität der $DYNASTY$ verringern.;;El escaso prestigio de $MONARCHTITLE$ $MONARCH$ ha vuelto más difícil que $COUNTRY$ haga que la zona de influencia de $COUNTRY_ADJ$ se respete. Si nos centramos en preservarla, quizá acabemos dañando la legitimidad de $DYNASTY$.;;;;;;;;;x
EVTOPTA401;Legitimacy is just a word.;La légitimité n’est qu’un mot.;Legitimität ist nur ein Wort.;;Legitimidad es solo una palabra.;;;;;;;;;x
EVTOPTB401;The throne must be secure.;Le trône doit être protégé.;Der Thron muss sicher sein.;;El trono debe ser seguro.;;;;;;;;;x
EVTNAME402;The Pope is questioning our Sphere of Influence;Le pape conteste notre sphère d’influence;Der Papst stellt unsere Einflusssphäre in Frage.;;El Papa cuestiona nuestra zona de influencia;;;;;;;;;x
EVTDESC402;With our lack of prestige, words have been spreading that the Pope is not entirely happy about the $COUNTRY_ADJ$ sphere of influence. He may have hinted to a few cardinals that we should back down.;Compte tenu de notre manque de prestige, on dit que le pape n’est pas pleinement satisfait de la sphère d’influence $COUNTRY_ADJ$. Il n’est pas impossible qu’il ait suggéré à quelques cardinaux de nous faire céder.;Mit unserem fehlenden Prestige ist das Gerücht im Umlauf, dass der Papst nicht glücklich mit der Einflusssphäre von $COUNTRY_ADJ$ Ist. Er soll einigen Kardinälen anvertraut haben, dass wir uns zurückhalten müssten.;;Dado nuestro escaso prestigio, se dice que el Papa no está del todo contento con la zona de influencia de $COUNTRY_ADJ$. Parece que ha insinuado a algunos cardenales que deberíamos dar marcha atrás.;;;;;;;;;x
EVTOPTA402;The Pope is probably false anyway.;Le pape est probablement illégitime de toute façon.;Der Papst hat sowieso unrecht.;;Seguramente el Papa se equivoca.;;;;;;;;;x
EVTOPTB402;We never cared about our influence anyway.;Qu’importe, nous ne nous sommes jamais souciés de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importó nuestra influencia.;;;;;;;;;x
EVTNAME403;Low Prestige in $COUNTRY$;Faible prestige de $COUNTRY$;Niedriges Prestige in $COUNTRY$;;Poco prestigio en $COUNTRY$;;;;;;;;;x
EVTDESC403;With low prestige comes lack of respect. This is causing other nations to lose faith in our abilities to defend the $COUNTRY_ADJ$ sphere of influence.  However, we can still force through our demands on the battlefield if need be.;Qui dit faible prestige dit manque de respect. Les autres nations ne nous croient plus capables de défendre la sphère d’influence $COUNTRY_ADJ$. Mais, si nécessaire, nous pouvons encore imposer nos exigences sur le champ de bataille.;Fehlender Respekt geht mit niedrigem Prestige einher. Das führt dazu, dass andere Nationen den Glauben verlieren, dass wir die $COUNTRY_ADJ$ Einflusssphäre verteidigen können.;;Con el poco prestigio viene la falta de respeto. Ello causa que otras naciones pierdan la fe en nuestra capacidad de defender la zona de influencia de $COUNTRY_ADJ$.  Sin embargo, aún podemos hacer valer nuestras exigencias en el campo de batalla, si es preciso.;;;;;;;;;x
EVTOPTA403;Might makes right!;Force fait loi !;Stärke bringt Recht.;;¡La razón de la fuerza!;;;;;;;;;x
EVTOPTB403;We never cared about our influence anyway.;Qu’importe, nous ne nous sommes jamais souciés de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importó nuestra influencia.;;;;;;;;;x
non_patrolled;Lack of Naval patrols;Absence de patrouilles navales;Fehlende Flottenpatrouillien;;Falta de patrullas navales;;;;;;;;;x
MILITARY_TACTICS;Military Tactics;Tactiques militaires;Militärtaktik;;Tácticas militares;;;;;;;;;x
ADD_TO_SPHERE;$WHO$ becomes part of $LEADER$ sphere of influence.\n;$WHO$ entre dans la sphère d’influence de $LEADER$.\n;$WHO$ wird Teil der Einflusssphäre von $LEADER$ .\n;;$WHO$ pasa a formar parte de la zona de influencia de $LEADER$.\n;;;;;;;;;x
REMOVE_FROM_SPHERE;$LEADER$ will no longer be able to claim $WHO$ as part of their sphere of influence.\n;$LEADER$ ne pourra plus affirmer que $WHO$ fait partie de sa sphère d’influence.\n;$LEADER$ wird $WHO$ nicht länger als Teil ihrer Einflusssphäre betrachten können#.\n;;$LEADER$ ya no podrán reclamar $WHO$ como parte de su zona de influencia.\n;;;;;;;;;x
ANY_SPHERE_STARTS;Sphere of Influence;Sphère d’influence;Einflusssphäre;;Zona de influencia;;;;;;;;;x
HAS_SPHERE;Has a sphere of influence.;A une sphère d’influence.;Hat eine Einflusssphäre;;Tiene una zona de influencia.;;;;;;;;;x
HAS_NO_SPHERE;Has NO sphere of influence.;N’a AUCUNE sphère d’influence.;Hat KEINE Einflusssphäre;;NO tiene zona de influencia.;;;;;;;;;x
weaken_rival_league;Weaken Rival League;Affaiblissement d’une ligue rivale;Schwächt rivalisierende Liga;;Debilita la liga rival;;;;;;;;;x
weaken_rival_league_desc;Trade leagues were notoriously competetive, always trying to get ahead of other leagues into new markets. Sometimes they even resorted to shadier tactics to discredit their rivals.;Les ligues commerciales étaient en concurrence perpétuelle, toujours prêtes à devancer les autres ligues sur de nouveaux marchés. Parfois, elles avaient même recours à des tactiques inavouables pour jeter le discrédit sur leurs rivales.;Trade leagues were notoriously competetive, always trying to get ahead of other leagues into new markets. Sometimes they even resorted to shadier tactics to discredit their rivals.;;Las ligas comerciales compiten manifiestamente, tratando siempre de adelantarse a otras ligas en nuevos mercados. A veces, incluso recurren a tácticas más dudosas para desacreditar a sus rivales.;;;;;;;;;x
SHIPS_IN_RANGE;There are fleets within range increasing patrol radius.\n;Des flottes situées à votre portée élargissent le rayon de patrouille.\n;Es sind Flotten in Reichweite, die den Patrouillienradius vergrößern.\n;;Hay flotas al alcance aumentando radio de patrulla.\n;;;;;;;;;x
HAVE_NOT_CORE_CLAIM_AGAINST;Have no Core Claim against ;N’ont aucune revendication de légitimité sur ;Hat keinen Gebietsanspruch gegenüber;;Sin reclamación de núcleo contra;;;;;;;;;x
HAVE_CORE_CLAIM_AGAINST;Have Core Claim against ;Ont une revendication de légitimité sur ;Hat Gebietsanspruch gegenüber;;Con reclamación de núcleo contra;;;;;;;;;x
HAVE_NOT_CG_CLAIM_AGAINST;Have no Culture Group Claim against ;N’ont aucune revendication d’appartenance à leur groupe culturel sur ;Hat keinen Kulturgruppenanspruch gegenüber;;Sin reclamación de grupo cultural contra;;;;;;;;;x
HAVE_CG_CLAIM_AGAINST;Have Culture Group Claim against ;Ont une revendication d’appartenance à leur groupe culturel sur ;Hat Kulturgruppenanspruch gegenüber;;Con reclamación de grupo cultural contra;;;;;;;;;x
HAVE_NOT_RG_CLAIM_AGAINST;Have no Religious Group Claim against ;N’ont aucune revendication d’appartenance à leur groupe religieux sur ;Hat keinen Religionsgruppenanspruch gegenüber;;Sin reclamación de grupo religioso contra;;;;;;;;;x
HAVE_RG_CLAIM_AGAINST;Have Religious Group Claim against ;Ont une revendication d’appartenance à leur groupe religieux sur ;Hat Religionsgruppenanspruch gegenüber;;Con reclamación de grupo religioso contra;;;;;;;;;x
HAVE_NOT_BORDER_CLAIM_AGAINST;Have no Border Friction with ;N’ont aucun conflit frontalier avec ;Hat keinen Grenzdisput mit;;Sin disputa fronteriza con;;;;;;;;;x
HAVE_BORDER_CLAIM_AGAINST;Have Border Friction with ;Ont un conflit frontalier avec ;Hat Grenzdisput mit;;Con disputa fronteriza con;;;;;;;;;x
CHOOSE_CB;Choose Casus Belli:;Choisir le casus belli :;Kriegsgrund auswählen:;;Elige casus belli:;;;;;;;;;x
STABILITY_EFFECTS;Stability Effects:;Effets de la stabilité :;Stabilitätseffekt:;;Efectos de estabilidad:;;;;;;;;;x
ATTACK_NO_CB;Attack without CB;Attaquer sans casus belli;Ohne Kriegsgrund angreiffen;;Ataque sin casus belli;;;;;;;;;x
CRUSADE_WAR_NAME;$ORDER$$FIRST$ $CRUSADE_NAME$ against $SECOND_NAME$;$ORDER$$FIRST$ $CRUSADE_NAME$ contre $SECOND_NAME$;$ORDER$$FIRST$ $CRUSADE_NAME$ gegen $SECOND_NAME$;;$ORDER$$FIRST$ $CRUSADE_NAME$ contra $SECOND_NAME$;;;;;;;;;x
CORE_WAR_NAME;$ORDER$$FIRST$ Reconquest of $PROVINCE$;$ORDER$$FIRST$ Reconquête de $PROVINCE$;$ORDER$$FIRST$ Rückeroberung von $PROVINCE$;;$ORDER$$FIRST$ Reconquista de $PROVINCE$;;;;;;;;;x
FINANCIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War of Recompense;$ORDER$$FIRST$-$SECOND$ Guerre de récompense;$ORDER$$FIRST$-$SECOND$ Krieg zur Wiedergutmachung;;$ORDER$$FIRST$-$SECOND$ Guerra de compensación;;;;;;;;;x
SPY_WAR_NAME;$ORDER$$FIRST$ War over $SECOND$ Provocation;$ORDER$$FIRST$ Guerre sur $SECOND$ provocation;$ORDER$$FIRST$ Krieg der $SECOND$ Provokation;;$ORDER$$FIRST$ Guerra por $SECOND$ provocación;;;;;;;;;x
VASSAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Vassalization War;$ORDER$$FIRST$-$SECOND$ Guerre de vassalisation;$ORDER$$FIRST$-$SECOND$ Vassalisationskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de vasallaje;;;;;;;;;x
DOF_WAR_NAME;$ORDER$$FIRST_RELIGION$ Defender War;$ORDER$$FIRST_RELIGION$ Guerre défensive;$ORDER$$FIRST_RELIGION$ Verteidigungskrieg;;$ORDER$$FIRST_RELIGION$ Guerra defensiva;;;;;;;;;x
HRE_DEFENSE_WAR_NAME;$ORDER$Holy Roman Intervention;$ORDER$ Intervention du Saint Empire romain germanique;$ORDER$Holy Römische Intervention;;$ORDER$Intervención sacro imperio romano;;;;;;;;;x
INTERVENTION_WAR_NAME;$ORDER$$FIRST$ Intervention;$ORDER$$FIRST$ Intervention;$ORDER$$FIRST$ Intervention;;$ORDER$$FIRST$ Intervención;;;;;;;;;x
INSULT_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War of Honour;$ORDER$$FIRST$-$SECOND$ Guerre d’honneur;$ORDER$$FIRST$-$SECOND$ Krieg der Ehre;;$ORDER$$FIRST$-$SECOND$ Guerra de honor;;;;;;;;;x
THRONE_WAR_NAME;$ORDER$$FIRST$ War for the $SECOND$ Throne;$ORDER$$FIRST$ Guerre pour le $SECOND$ trône;$ORDER$$FIRST$ Krieg um den $SECOND$ Thron;;$ORDER$$FIRST$ Guerra por el $SECOND$ trono;;;;;;;;;x
NATION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Nationalist War;$ORDER$$FIRST$-$SECOND$ Guerre nationaliste;$ORDER$$FIRST$-$SECOND$ nationalistischer Krieg;;$ORDER$$FIRST$-$SECOND$ Guerra nacionalista;;;;;;;;;x
IMPERIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Imperialist War;$ORDER$$FIRST$-$SECOND$ Guerre impérialiste;$ORDER$$FIRST$-$SECOND$ Imperialistischer Krieg;;$ORDER$$FIRST$-$SECOND$ Guerra imperialista;;;;;;;;;x
COLONIAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Colonial War;$ORDER$$FIRST$-$SECOND$ Guerre coloniale;$ORDER$$FIRST$-$SECOND$ Kolonialkrieg;;$ORDER$$FIRST$-$SECOND$ Guerra colonial;;;;;;;;;x
UNION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Unification War;$ORDER$$FIRST$-$SECOND$ Guerre d’unification;$ORDER$$FIRST$-$SECOND$ Vereinigungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de unificación;;;;;;;;;x
LIBERATION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Liberation War;$ORDER$$FIRST$-$SECOND$ Guerre de libération;$ORDER$$FIRST$-$SECOND$ Befreiungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de liberación;;;;;;;;;x
HERETIC_WAR_NAME;$ORDER$$FIRST$ Purge of $SECOND$ Heresy;$ORDER$$FIRST$ Purge de la $SECOND$ hérésie;$ORDER$$FIRST$ Unterdrückung der $SECOND$ Ketzerei;;$ORDER$$FIRST$ Purga de $SECOND$ herejía;;;;;;;;;x
BORDER_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Border War;$ORDER$$FIRST$-$SECOND$ Guerre frontalière;$ORDER$$FIRST$-$SECOND$ Grenzkrieg;;$ORDER$$FIRST$-$SECOND$ Guerra fronteriza;;;;;;;;;x
EXCOM_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Excommunication War;$ORDER$$FIRST$-$SECOND$ Guerre d’excommunication;$ORDER$$FIRST$-$SECOND$ Exkommunikationskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de excomunión;;;;;;;;;x
TRADE_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Trade War;$ORDER$$FIRST$-$SECOND$ Guerre commerciale;$ORDER$$FIRST$-$SECOND$ Handelskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra comercial;;;;;;;;;x
BAN_WAR_NAME;$ORDER$Holy Roman Reclamation of $PROVINCE$;$ORDER$ Réclamation de $PROVINCE$ par le Saint Empire romain germanique;$ORDER$ heilige römische Wiederbeanspruchung von $PROVINCE$;;$ORDER$Reclamación del Sacro Imperio Romano de $PROVINCE$;;;;;;;;;x
CONFORMANCE_WAR_NAME;$ORDER$Holy Roman-$SECOND$ War of Conformance;$ORDER$ $SECOND$ Guerre de soumission du Saint Empire romain germanique;$ORDER$Heiliger Römischer-$SECOND$ Konformitätskrieg;;$ORDER$Sacro Imperio Romano-$SECOND$ Guerra de conformidad;;;;;;;;;x
PUNITIVE_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Punitive War;$ORDER$ $FIRST$-$SECOND$ Guerre punitive;$ORDER$$FIRST$-$SECOND$ Bestrafungskrieg;;$ORDER$$FIRST$-$SECOND$ Guerra de castigo;;;;;;;;;x
PRIMITIVE_WAR_NAME;$ORDER$$FIRST$ Conquest of $SECOND_NAME$;$ORDER$$FIRST$ Conquête de $SECOND_NAME$;$ORDER$$FIRST$ Eroberung von $SECOND_NAME$;;$ORDER$$FIRST$ Conquista de $SECOND_NAME$;;;;;;;;;x
CONQUEST_WAR_NAME;$ORDER$$FIRST$ Conquest of $PROVINCE$;$ORDER$$FIRST$ Conquête de $PROVINCE$;$ORDER$$FIRST$ Eroberung von $PROVINCE$;;$ORDER$$FIRST$ Conquista de $PROVINCE$;;;;;;;;;x
VASSAL_MISSION_WAR_NAME;$ORDER$$FIRST$ Subjugation of $SECOND_NAME$;$ORDER$$FIRST$ Assujettissement de $SECOND_NAME$;$ORDER$$FIRST$ Unterwerfung von $SECOND_NAME$;;$ORDER$$FIRST$ Subyugación de $SECOND_NAME$;;;;;;;;;x
JIHAD;Jihad;Djihad;Jihad;;Jihad;;;;;;;;;x
DEFECTED_IN_THE_LAST;Defected in the last;Perdu au cours des derniers ;Ist zuletzt übergelaufen;;Desertora en el último;;;;;;;;;x
NOT_DEFECTED_IN_THE_LAST;NOT defected in the last;Non perdu au cours des derniers;Ist zuletzt NICHT übergelaufen;;NO desertora en el último;;;;;;;;;x
IS_NOT_PREVIOUS_OWNER;Is NOT previous owner:;N’est PAS l’ancien propriétaire :;Ist KEIN vorheriger Besitzer;;NO es el dueño anterior:;;;;;;;;;x
IS_PREVIOUS_OWNER;Is previous owner:;Est l’ancien propriétaire :;ist vorheriger Besitzer:;;Es el dueño anterior:;;;;;;;;;x
ARE_NOT_PRIMITIVES;Is NOT primitive;N’est PAS primitif;Ist NICHT primitiv;;NO es primitivo;;;;;;;;;x
ARE_PRIMITIVES;Is primitive;Est primitif;Ist primitiv;;Es primitivo;;;;;;;;;x
CONCEDE_DEFEAT;$WHO$ will concede defeat. ;$WHO$ ne s’avouera pas vaincu. ;$WHO$ sieht die Niederlage ein;;$WHO$ aceptará la derrota. ;;;;;;;;;x
