no_to_anglicanism_title;Suppress Anglicanism;;;;;;;;;;;;;x
no_to_anglicanism_desc;The Anglicans are dangerous heretics. We must destroy this perversion of the true faith before it grows too strong.;;;;;;;;;;;;;x
no_to_anglican;Oppression of Anglicans;;;;;;;;;;;;;x
desc_no_to_anglican;Anglican heretics have been forced into hiding within our nation.;;;;;;;;;;;;;x
enact_halakha_title;Codify Jewish Law;;;;;;;;;;;;;x
enact_halakha_desc;The Halakha, or The Way to Go, has long been maintained as the civil and religious law of the Jewish people. By officially adopting these customs at the state level we can guarantee certain rights for our Jewish subjects, though those not of the faith may find these laws unacceptable.;;;;;;;;;;;;;x
halakha_law;Halakha;;;;;;;;;;;;;x
desc_halakha_law;The Law of the Jewish people;;;;;;;;;;;;;x
pagan_held_carnac;Control of Carnac;;;;;;;;;;;;;x
desc_pagan_held_carnac;We hold the stone rows of Carnac, along with the pagan magics that flow through them.;;;;;;;;;;;;;x
teotl_held_cenote;Stewards of Sacred Cenote;;;;;;;;;;;;;x
desc_teotl_held_cenote;Our people hold the Well of Sacrifice at the site of Chichen Itza, where we may commune with the God of Rain through prayer, gifts or, if necessary, human sacrifice.;;;;;;;;;;;;;x
inca_held_nazca;The Nazca Lines;;;;;;;;;;;;;x
desc_inca_held_nazca;Surely the Gods will grant favor to the people who guard their avatars here on Earth.;;;;;;;;;;;;;x
doi_suthep_steward;Stewards of Doi Suthep;;;;;;;;;;;;;x
desc_doi_suthep_steward;Our state guards over the temple of Wat Phrathat Doi Suthep, sacred to both Hindu and Buddhist faithful.;;;;;;;;;;;;;x
enact_poly_wayfinding_title;Polynesian Wayfinding;;;;;;;;;;;;;x
enact_poly_wayfinding_desc;The flow of the ocean, the wandering of the stars and the migrations of the birds. All tools to guide our sailors across the vast ocean. Passed down through generations by song, the ability to understand these signs allows us to train the most capable sailors in the world.;;;;;;;;;;;;;x
poly_wayfinding;Wayfinding;;;;;;;;;;;;;x
desc_poly_wayfinding;Our people are intimately connected to the waves and the stars.;;;;;;;;;;;;;x
enact_poly_surfing_title;Surfing;;;;;;;;;;;;;x
enact_poly_surfing_desc;Our greatest chiefs have shown the power they can exert over the waves of the Pacific, and now the common people have seen that they possess the same ability. He'enelau, the art of riding the waves, has become more than just a form of recreation for the elite, it is a powerful connection our people have to the waters that surround us.;;;;;;;;;;;;;x
poly_surfing;Surfing;;;;;;;;;;;;;x
desc_poly_surfing;He'enalu, the art of riding the waves, is not just for sport.;;;;;;;;;;;;;x
enact_syncretism_title;Syncretism;;;;;;;;;;;;;x
enact_syncretism_desc;By incorporating foreign beliefs into our religious culture, our own traditions are strengthened.;;;;;;;;;;;;;x
african_syncretism;Syncretism;;;;;;;;;;;;;x
desc_african_syncretism;By incorporating foreign beliefs into our religious culture, our own traditions are strengthened.;;;;;;;;;;;;;x
publish_eddic_poems_title;Publish Poetic Edda;;;;;;;;;;;;;x
publish_eddic_poems_desc;The Eddic Poems venerate our old heroes and Gods, but the stories are known to only a few. If we translate the poems and commit them to print, we can spread the glory of our faith far and wide.;;;;;;;;;;;;;x
poetic_edda;Poetic Edda;;;;;;;;;;;;;x
desc_poetic_edda;The powerful prose and imagery of the Norse poems captivates everyone fortunate enough to read them.;;;;;;;;;;;;;x
